No.,Time,Source,Destination,Protocol,Length,Info
1,0,192.168.0.13,192.168.0.1,ICMP,146,"Echo (ping) request  id=0x4d01, seq=0/0, ttl=64 (reply in 2)"
2,0,192.168.0.13,192.168.0.16,TCP,1498,9020  >  49784 [ACK] Seq=5029255 Ack=1 Win=1869 Len=1388 TSval=467182 TSecr=366189450
3,0.000144,192.168.0.13,192.168.0.16,TCP,140,"9020  >  49784 [PSH, ACK] Seq=5030643 Ack=1 Win=1869 Len=30 TSval=467182 TSecr=366189450"
4,0.000227,192.168.0.13,192.168.0.16,TCP,1502,9020  >  49784 [ACK] Seq=5030673 Ack=1 Win=1869 Len=1388 TSval=467182 TSecr=366189450
5,0.000545,192.168.0.1,192.168.0.13,ICMP,146,"Echo (ping) reply    id=0x4d01, seq=0/0, ttl=64 (request in 1)"
6,0.000765,192.168.0.13,192.168.0.16,TCP,1498,9020  >  49784 [ACK] Seq=5032061 Ack=1 Win=1869 Len=1388 TSval=467182 TSecr=366189450
7,0.00084,192.168.0.13,192.168.0.16,TCP,1502,9020  >  49784 [ACK] Seq=5033449 Ack=1 Win=1869 Len=1388 TSval=467182 TSecr=366189450
8,0.001493,192.168.0.13,192.168.0.16,TCP,1502,9020  >  49784 [ACK] Seq=5034837 Ack=1 Win=1869 Len=1388 TSval=467182 TSecr=366189450
9,0.002407,192.168.0.13,192.168.0.16,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=5029255 Ack=1 Win=1869 Len=1388 TSval=467182 TSecr=366189450
10,0.002482,192.168.0.13,192.168.0.16,TCP,140,"[TCP Retransmission] 9020  >  49784 [PSH, ACK] Seq=5030643 Ack=1 Win=1869 Len=30 TSval=467182 TSecr=366189450"
11,0.002592,192.168.0.13,192.168.0.16,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=5030673 Ack=1 Win=1869 Len=1388 TSval=467182 TSecr=366189450
12,0.008112,192.168.0.13,192.168.0.23,TCP,843,"9020  >  44144 [PSH, ACK] Seq=1 Ack=1 Win=1869 Len=729 TSval=8046 TSecr=472214520"
13,0.008814,192.168.0.16,192.168.0.13,TCP,110,49784  >  9020 [ACK] Seq=1 Ack=5033449 Win=32505 Len=0 TSval=366189523 TSecr=467182
14,0.008895,192.168.0.16,192.168.0.13,TCP,114,[TCP Window Update] 49784  >  9020 [ACK] Seq=1 Ack=5033449 Win=32683 Len=0 TSval=366189523 TSecr=467182
15,0.008999,192.168.0.13,192.168.0.23,TCP,839,"[TCP Retransmission] 9020  >  44144 [PSH, ACK] Seq=1 Ack=1 Win=1869 Len=729 TSval=8046 TSecr=472214520"
16,0.011263,192.168.0.16,192.168.0.13,TCP,110,49784  >  9020 [ACK] Seq=1 Ack=5030673 Win=32679 Len=0 TSval=366189523 TSecr=467182
17,0.011343,192.168.0.16,192.168.0.13,TCP,110,49784  >  9020 [ACK] Seq=1 Ack=5033449 Win=32505 Len=0 TSval=366189523 TSecr=467182
18,0.011419,192.168.0.16,192.168.0.13,TCP,114,[TCP Window Update] 49784  >  9020 [ACK] Seq=1 Ack=5033449 Win=32683 Len=0 TSval=366189523 TSecr=467182
19,0.011836,192.168.0.23,192.168.0.13,TCP,110,44144  >  9020 [ACK] Seq=1 Ack=730 Win=32678 Len=0 TSval=472214592 TSecr=8046
20,0.012264,192.168.0.23,192.168.0.13,TCP,114,[TCP Dup ACK 5#1] 44144  >  9020 [ACK] Seq=1 Ack=730 Win=32678 Len=0 TSval=472214592 TSecr=8046
21,0.012995,192.168.0.13,192.168.0.16,TCP,888,"9020  >  49784 [PSH, ACK] Seq=5036225 Ack=1 Win=1869 Len=774 TSval=467183 TSecr=366189523"
22,0.01371,192.168.0.13,192.168.0.16,TCP,888,"[TCP Retransmission] 9020  >  49784 [PSH, ACK] Seq=5036225 Ack=1 Win=1869 Len=774 TSval=467183 TSecr=366189523"
23,0.0166,192.168.0.16,192.168.0.13,TCP,114,49784  >  9020 [ACK] Seq=1 Ack=5036999 Win=32719 Len=0 TSval=366189534 TSecr=467182
24,0.016956,192.168.0.16,192.168.0.13,TCP,114,[TCP Dup ACK 27#1] 49784  >  9020 [ACK] Seq=1 Ack=5036999 Win=32719 Len=0 TSval=366189534 TSecr=467182
25,0.058024,192.168.0.13,192.168.0.23,TCP,875,"9020  >  44144 [PSH, ACK] Seq=730 Ack=1 Win=1869 Len=761 TSval=8051 TSecr=472214592"
26,0.060943,192.168.0.13,192.168.0.16,TCP,1498,9020  >  49784 [ACK] Seq=5036999 Ack=1 Win=1869 Len=1388 TSval=467188 TSecr=366189534
27,0.061021,192.168.0.13,192.168.0.16,TCP,140,"9020  >  49784 [PSH, ACK] Seq=5038387 Ack=1 Win=1869 Len=30 TSval=467188 TSecr=366189534"
28,0.061091,192.168.0.13,192.168.0.16,TCP,1502,9020  >  49784 [ACK] Seq=5038417 Ack=1 Win=1869 Len=1388 TSval=467188 TSecr=366189534
29,0.061641,192.168.0.13,192.168.0.16,TCP,1502,9020  >  49784 [ACK] Seq=5039805 Ack=1 Win=1869 Len=1388 TSval=467188 TSecr=366189534
30,0.061833,192.168.0.13,192.168.0.16,TCP,1498,9020  >  49784 [ACK] Seq=5041193 Ack=1 Win=1869 Len=1388 TSval=467188 TSecr=366189534
31,0.062039,192.168.0.13,192.168.0.16,TCP,1498,9020  >  49784 [ACK] Seq=5042581 Ack=1 Win=1869 Len=1388 TSval=467188 TSecr=366189534
32,0.062475,192.168.0.13,192.168.0.16,TCP,1502,9020  >  49784 [ACK] Seq=5043969 Ack=1 Win=1869 Len=1388 TSval=467188 TSecr=366189534
33,0.06496,192.168.0.13,192.168.0.16,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=5036999 Ack=1 Win=1869 Len=1388 TSval=467188 TSecr=366189534
34,0.065038,192.168.0.13,192.168.0.16,TCP,140,"[TCP Retransmission] 9020  >  49784 [PSH, ACK] Seq=5038387 Ack=1 Win=1869 Len=30 TSval=467188 TSecr=366189534"
35,0.065151,192.168.0.13,192.168.0.16,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=5038417 Ack=1 Win=1869 Len=1388 TSval=467188 TSecr=366189534
36,0.06539,192.168.0.13,192.168.0.16,TCP,1502,[TCP Retransmission] 9020  >  49784 [ACK] Seq=5039805 Ack=1 Win=1869 Len=1388 TSval=467188 TSecr=366189534
37,0.066137,192.168.0.13,192.168.0.16,TCP,1498,[TCP Retransmission] 9020  >  49784 [ACK] Seq=5041193 Ack=1 Win=1869 Len=1388 TSval=467188 TSecr=366189534
38,0.081026,192.168.0.13,192.168.0.23,TCP,871,"[TCP Retransmission] 9020  >  44144 [PSH, ACK] Seq=730 Ack=1 Win=1869 Len=761 TSval=8051 TSecr=472214592"
39,0.087405,192.168.0.23,192.168.0.13,TCP,110,44144  >  9020 [ACK] Seq=1 Ack=1491 Win=32678 Len=0 TSval=472214664 TSecr=8051
40,0.087822,192.168.0.23,192.168.0.13,TCP,114,[TCP Dup ACK 9#1] 44144  >  9020 [ACK] Seq=1 Ack=1491 Win=32678 Len=0 TSval=472214664 TSecr=8051
41,0.138858,192.168.0.13,192.168.0.23,TCP,903,"9020  >  44144 [PSH, ACK] Seq=1491 Ack=1 Win=1869 Len=789 TSval=8059 TSecr=472214664"
